id,origin,destination,distance_km,zone,base_fare_zar
531,LANGA,KILLARNEY,18.49,Zone 3,18.0
532,WESBANK,KUILSRIVER,13.2,Zone 3,18.0
533,PENTECH RAILWAY STATION,BELHAR,4.35,Zone 1,8.0
534,ORANJEZICHT,CAPE TOWN,4.07,Zone 1,8.0
535,MONTAGUE GARDENS,KOEBERG RAILWAY STATIONS,14.1,Zone 3,18.0
536,DURBANVILLE,TYGERVALLEY CENTRE,8.23,Zone 2,12.0
537,DURBANVILLE,"KLIPHEUWEL RD,DURBANVILLE",19.73,Zone 3,18.0
538,DURBANVILLE,BLOEKOMBOS,13.53,Zone 3,18.0
539,KHAYELITSHA,WOODSTOCK,30.92,Zone 4,25.0
540,"HAPPY VALLEY ,BLACKHEATH",KUILSRIVER,10.04,Zone 3,18.0
541,NYANGA,BOTHASIG,31.08,Zone 4,25.0
542,CAPE TOWN,SEA POINT,9.29,Zone 2,12.0
543,BLUE DOWNS,MITCHELLS PLAIN,46.28,Zone 5,35.0
544,MATROOSFONTEIN,EPPING 2,3.8,Zone 1,8.0
545,LANGA,HARARE,31.56,Zone 4,25.0
546,LANGA,MAKHAZA,29.89,Zone 4,25.0
547,SEA POINT,LANGA,23.28,Zone 4,25.0
548,KHAYELITSHA,PAROW RAILWAY STATION,25.66,Zone 4,25.0
549,KHAYELITSHA,TYGERBERG RAILWAY STATION,31.86,Zone 4,25.0
550,TYGERBERG RAILWAY STATION,KHAYELITSHA,22.03,Zone 4,25.0
551,MASIPHUMELELE,FISH HOEK,7.36,Zone 2,12.0
552,MALIBU,BELLVILLE,19.34,Zone 3,18.0
553,MALIBU,EERSTE RIVER,8.53,Zone 2,12.0
554,BELLVILLE,GROOTTE SCHUUR HOSPITAL,26.86,Zone 4,25.0
555,BRENTWOOD PARK,BELLVILLE,15.68,Zone 3,18.0
556,DELFT SOUTH,CAPE TOWN,35.44,Zone 5,35.0
557,UNIBELL,DELFT SOUTH,12.52,Zone 3,18.0
558,SAMORA MACHEL,CAPE TOWN,25.62,Zone 4,25.0
559,NORWOOD,ELSIES RIVER,4.84,Zone 1,8.0
560,KHAYELITSHA (KUWAIT),MITCHELLS PLAIN,9.99,Zone 2,12.0
561,KHAYELITSHA (SITE B),MITCHELLS PLAIN,9.11,Zone 2,12.0
562,KHAYELITSHA (MAKHAZA),MITCHELLS PLAIN,13.33,Zone 3,18.0
563,KHAYELITSHA (TOWN 2),MITCHELLS PLAIN,10.87,Zone 3,18.0
564,KHAYELITSHA (LUZUKO RANK),MITCHELLS PLAIN,9.98,Zone 2,12.0
565,KHAYELITSHA (HARARE),MITCHELLS PLAIN,8.26,Zone 2,12.0
566,KHAYELITSHA (MAKAYA),MITCHELLS PLAIN,12.12,Zone 3,18.0
567,OCEAN VIEW,KOMMETJIE,4.34,Zone 1,8.0
568,KHAYELITSHA,TABLE VIEW,42.44,Zone 5,35.0
569,KUWAIT,HARARE,23.99,Zone 4,25.0
570,KUWAIT,MAKHAZA,23.53,Zone 4,25.0
571,KRAAIFONTEIN,WALLACEDENE,4.73,Zone 1,8.0
572,KRAAIFONTEIN,DE NOVA,10.91,Zone 3,18.0
573,WALLACEDENE,DURBANVILLE,11.28,Zone 3,18.0
574,OCEAN VIEW,MURDOCK VALLEY,24.25,Zone 4,25.0
575,OCEAN VIEW,NOORDHOEK,16.27,Zone 3,18.0
576,DELFT SOUTH,PAROW,21.7,Zone 4,25.0
577,PENTECH STATION,DELFT SOUTH,12.74,Zone 3,18.0
578,UNIBELL,ELSIES RIVER,34.78,Zone 4,25.0
579,KHAYELITSHA,DELFT,9.35,Zone 2,12.0
580,KHAYELITSHA,WESBANK,13.68,Zone 3,18.0
581,MUTUAL RAILWAY STATION,LANGA,7.12,Zone 2,12.0
582,LANGA,GUGULETU,13.34,Zone 3,18.0
583,DU NOON,BOTHASIG,13.37,Zone 3,18.0
584,DU NOON,MAITLAND RAILWAY STATION,17.2,Zone 3,18.0
585,WESBANK,BELLVILLE,21.06,Zone 4,25.0
586,EERSTE RIVER,FOREST HEIGHTS,10.38,Zone 3,18.0
587,DELFT SOUTH,MITCHELLS PLAIN,10.06,Zone 3,18.0
588,BELLVILLE,ATLANTIS,3.65,Zone 1,8.0
589,LWANDLE,LOURENSFORD FARM,15.78,Zone 3,18.0
590,WYNBERG,CROSS RAODS,25.78,Zone 4,25.0
591,CAPE TOWN,SALT RIVER,6.73,Zone 2,12.0
592,NYANGA,WYNBERG (VIA CLAREMONT),17.76,Zone 3,18.0
593,CROSS ROADS,WYNBERG (VIA CLAREMONT),20.75,Zone 4,25.0
594,GUGULETU,CLAREMONT (VIA WYNBERG),20.97,Zone 4,25.0
595,CROSS ROADS,CLAREMONT (VIA WYNBERG),21.24,Zone 4,25.0
